keyword,vendor,category,tag
google&ads,Google,COGS,paid media
veed,Veed,Office Supplies & Software,software
amzn.com/bill,Amazon,Office Supplies & Software,office supplies
google&fi,Google,Cell Phone,phone
vistaprint,Vistaprint,Office Supplies & Software,office supplies
upwork,Upwork,Professional fees,labor
openai,OpenAI,Office Supplies & Software,software
intuit quickbooks,Quickbooks,Office Supplies & Software,software
adobe,adobe,Office Supplies & Software,software
TRIANGLE&DIGITAL,Triangle Digital,Professional fees,labor
instacart,Instacart,Food,louisa
harris&teeter,Harris Teeter,Food,
starbucks,Starbucks,Food,
ting,Ting,Cell Phone,phone
preply,Preply,,
uber,Uber,Travel and Transportation,
google&youtube,Google,Entertainment,monthly
google&nest,Google,,monthly
Wikimedia,Wikimedia,Charity,
Hilton,Hilton,Travel and Transportation,
Amazon web services,Amazon,Office Supplies & Software,software
google,Google,,
AMAZON MKTPL,Amazon,Shopping (Consumer Goods),
amz,Amazon,,
"Blink, Shopping, Sale",Amazon,Shopping (Consumer Goods),
bloomingdales,Bloomingdales,Shopping (Consumer Goods),
brooks brothers,Brooks Brothers,Shopping (Consumer Goods),
caboose&food,Caboose,,
CHATGPT,OpenAI,Office Supplies & Software,software
ExpressVPN,ExpressVPN,Office Supplies & Software,software
Amazon,Amazon,,
7-ELEVEN,7-Eleven,Gas,
AEGEAN,Aegean,Travel and Transportation,
Afterpay,Afterpay,Shopping (Consumer Goods),louisa
ATTIKI,ATTIKI Odos,Travel and Transportation,
EZPASSVA,EZPASSVA,Travel and Transportation,personal
FOUNDATIONS PHYSICAL,Foundations Physical Therapy,Health & Wellness,
GOOGLE *YouTube Videos,Google,Entertainment,monthly
Google Nest,Google,Home,monthly
harris teeter,Harris Teeter,Food,
PARAMOUNT+,Paramount,Entertainment,monthly
Sunoco,Sunoco,Gas,
tropical smoothie,Tropical Smoothie,Food,
Topaz Labs,Topaz Labs,Office Supplies & Software,software
tst*,,Food,
twitter paid,Twitter,Office Supplies & Software,software
zwift,Zwift,Health & Wellness,
x corp,Twitter,Office Supplies & Software,software
trainingpeaks,Training Peaks,Health & Wellness,
wolt,Wolt,Food,
verizon,Verizon,,
notion,Notion,Office Supplies & Software,software
Squarespace,SquareSpace,Office Supplies & Software,software
Vanity Fair,Vanity Fair,,louisa
hover,Hover,Office Supplies & Software,software
figma,Figma,Office Supplies & Software,software
dd *doordash,DoorDash,Food,louisa
Google *cloud,Google,Office Supplies & Software,software
vesta,At&t,,louisa
patreon,Patreon,Entertainment,monthly
target,Target,Shopping (Consumer Goods),personal
roku,Roku,Entertainment,monthly
moms of merri,Mom's,Food,
feals,Ffeals,,louisa
thumbtack,Thumbtack,,louisa
revlolve,revolve,,louisa
